doc-number,Caption,Committees,Sponsors,links
HB 1172,"Water rights; public trust doctrine; remove references
Status: 05/06/2024 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Burchett, James , 176thRhodes, Trey , 124thLeverett, Rob , 123rdSmith, Lynn , 70thWilliams, Al , 168th",https://www.legis.ga.gov/legislation/66762
HB 1173,"Game and fish; authorize taking channel catfish and flathead catfish by bow and arrow state wide
Status: 02/15/2024 - House Withdrawn, Recommitted","House Committee:Game, Fish & Parks","Ridley, Jason , 6thRhodes, Trey , 124thRidley, Jordan , 22ndCannon, Chas , 172ndCorbett, John , 174th",https://www.legis.ga.gov/legislation/66763
HB 1174,"Harris County Public Improvements Authority; revise purpose
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Smith, Vance , 138th",https://www.legis.ga.gov/legislation/66764
HB 1175,"Physical therapists; granting licenses and disciplining licensees; revise provisions
Status: 02/20/2024 - House Committee Favorably Reported",House Committee:Regulated Industries,"Cannon, Chas , 172ndStinson, Patty Marie , 150thHawkins, Lee , 27thBennett, Karen , 94thMathiak, Karen , 74thNewton, Mark , 127th",https://www.legis.ga.gov/legislation/66765
HB 1176,"Insurance; coverage of infant formula when a woman is medically unable to breastfeed; provide
Status: 02/09/2024 - House Second Readers",House Committee:Public Health,"Kelley, Trey , 16thBallinger, Mandi , 23rdCooper, Sharon , 45thDunahoo, Emory , 31stBuckner, Debbie , 137thOliver, Mary Margaret , 82nd",https://www.legis.ga.gov/legislation/66771
HB 1177,"Revenue and taxation; statewide homestead exemption from ad valorem taxes when current year assessed value exceeds base year value; provide
Status: 02/09/2024 - House Second Readers",House Committee:Ways & Means,"Stephens, Ron , 164thWashburn, Dale , 144thBlackmon, Shaw , 146th",https://www.legis.ga.gov/legislation/66772
HB 1178,"Georgia Utility Transparency Act; enact
Status: 02/09/2024 - House Second Readers","House Committee:Energy, Utilities & Telecommunications","Evans, Becky , 89thDrenner, Karla , 85thGullett, Joseph , 19thBuckner, Debbie , 137thCamp, Beth , 135thFrye, Spencer , 122nd",https://www.legis.ga.gov/legislation/66773
HB 1179,"Insurance; step therapy protocols may not be required for medications prescribed for the treatment of serious mental illness under health benefit plans; provide
Status: 02/09/2024 - House Second Readers",House Committee:Public Health,"Cooper, Sharon , 45thHawkins, Lee , 27thJones, Todd , 25thOliver, Mary Margaret , 82ndLumsden, Eddie , 12th",https://www.legis.ga.gov/legislation/66774
HB 1180,"Income tax credit; film, gaming, video, or digital production; revise a definition
Status: 03/21/2024 - Senate Read Second Time",House Committee:Ways & MeansSenate Committee:Finance,"Carpenter, Kasey , 4thWilliamson, Bruce , 112thBlackmon, Shaw , 146thMartin, Chuck , 49thBuckner, Debbie , 137thSeabaugh, Devan , 34th",https://www.legis.ga.gov/legislation/66775
HB 1181,"Income tax; limit carry-forward periods of certain income tax credits
Status: 05/06/2024 - House Date Signed by Governor",House Committee:Ways & MeansSenate Committee:Finance,"Martin, Chuck , 49thBlackmon, Shaw , 146thWilliamson, Bruce , 112thBuckner, Debbie , 137th",https://www.legis.ga.gov/legislation/66776
HB 1182,"Income tax; low-income housing tax credits; revise
Status: 03/26/2024 - Senate Tabled",House Committee:Ways & MeansSenate Committee:Finance,"Crowe, Clint , 118thWilliamson, Bruce , 112thBlackmon, Shaw , 146thBuckner, Debbie , 137thStephens, Ron , 164th",https://www.legis.ga.gov/legislation/66778
HB 1183,"Education; local school systems to provide certain information to parents and guardians of students in grades six through 12 on Type 1 and Type 2 diabetes; require
Status: 05/02/2024 - House Date Signed by Governor",House Committee:Public HealthSenate Committee:Education and Youth,"Dempsey, Katie , 13thCooper, Sharon , 45thHawkins, Lee , 27thStoner, Doug , 40thMathiak, Karen , 74th",https://www.legis.ga.gov/legislation/66779
HB 1184,"Evidence; privilege for participation in victim centered programs; provide
Status: 02/26/2024 - House Committee Favorably Reported By Substitute",House Committee:Judiciary,"Anulewicz, Teri , 42ndSmith, Tyler Paul , 18thLeverett, Rob , 123rdEvans, Stacey , 57th",https://www.legis.ga.gov/legislation/66780
HB 1185,"Revenue and taxation; statewide homestead exemption from ad valorem taxes when current year assessed value exceeds the inflation rate; provide
Status: 03/14/2024 - Senate Read Second Time",House Committee:Ways & MeansSenate Committee:Finance,"Camp, Beth , 135thWashburn, Dale , 144thFrye, Spencer , 122ndMartin, Chuck , 49thBlackmon, Shaw , 146th",https://www.legis.ga.gov/legislation/66781
HB 1186,"Education Coordinating Council; school and school system ratings; provisions
Status: 02/22/2024 - House Committee Favorably Reported By Substitute",House Committee:Education,"Hilton, Scott , 48thCox, Brent , 28thDubnik, Matt , 29thBallard, Bethany , 147thMainor, Mesha , 56thWade, Will , 9th",https://www.legis.ga.gov/legislation/66782
HB 1187,"Crimes and offenses; change references to assistance and guide dogs to service dogs
Status: 02/09/2024 - House Second Readers",House Committee:Public Health,"Thomas, Brad , 21stBonner, Josh , 73rdMathiak, Karen , 74thHagan, Leesa , 156th",https://www.legis.ga.gov/legislation/66783
HB 1188,"Peace officers; extend time frame for which reimbursement of total training expenses by a subsequent employer may be sought
Status: 03/11/2024 - Senate Read Second Time",House Committee:Public Safety and Homeland SecuritySenate Committee:Public Safety,"Lott, Jodi , 131stPowell, Alan , 33rdHitchens, Bill , 161stCollins, J , 71stVance, Ken , 133rd",https://www.legis.ga.gov/legislation/66808
HB 1189,"Barwick, City of; municipal court to collect a technology fee; authorize
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Taylor, Darlene , 173rdCannon, Chas , 172ndLaHood, John , 175th",https://www.legis.ga.gov/legislation/66809
HB 1190,"Secretary of State; division director to issue licenses in certain instances; authorize
Status: 03/14/2024 - Senate Read Second Time",House Committee:Regulated IndustriesSenate Committee:Regulated Industries and Utilities,"Collins, J , 71stPowell, Alan , 33rdCheokas, Mike , 151stGaines, Houston , 120thRidley, Jason , 6th",https://www.legis.ga.gov/legislation/66810
HB 1191,"Elections; leadership committees; repeal provisions of law
Status: 02/12/2024 - House Second Readers",House Committee:Rules,"Park, Sam , 107thMughal, Farooq , 105thClark, Jasmine , 108thAu, Michelle , 50thDraper, Saira , 90thMiller, Tanya F. , 62nd",https://www.legis.ga.gov/legislation/66811
HB 1192,"Sales and use tax; certain high-technology data center equipment; prohibit issuance of new certificates of exemption
Status: 05/07/2024 - House Date Vetoed by Governor",House Committee:Ways & MeansSenate Committee:Finance,"Carson, John , 46thMartin, Chuck , 49thBlackmon, Shaw , 146th",https://www.legis.ga.gov/legislation/66812
HB 1193,"Motor vehicles; require operation of flashing or revolving amber lights upon certain vehicles
Status: 05/01/2024 - House Date Signed by Governor",House Committee:Motor VehiclesSenate Committee:Transportation,"McDonald, Lauren , 26thHitchens, Bill , 161stLumsden, Eddie , 12thHong, Soo , 103rdCollins, J , 71st",https://www.legis.ga.gov/legislation/66813
HB 1194,"State Board of Education; procedures for student transfers between local school systems; provide
Status: 02/12/2024 - House Second Readers",House Committee:Education,"Dubnik, Matt , 29thHilton, Scott , 48thBallard, Bethany , 147thHagan, Leesa , 156thCheokas, Mike , 151stWade, Will , 9th",https://www.legis.ga.gov/legislation/66814
HB 1195,"Income tax; workforce-ready graduates employed in high-tech full-time jobs in rural counties; provide tax credit
Status: 02/21/2024 - House Committee Favorably Reported By Substitute",House Committee:Ways & Means,"Kendrick, Dar'shun , 95thJackson, Mack , 128thKelley, Trey , 16thGreene, Gerald , 154thBuckner, Debbie , 137thFrye, Spencer , 122nd",https://www.legis.ga.gov/legislation/66815
HB 1196,"Public utilities; certain utilities to allocate a portion of their revenue to a Georgians First Fund; provisions
Status: 02/12/2024 - House Second Readers","House Committee:Energy, Utilities & Telecommunications","Evans, Becky , 89thDrenner, Karla , 85thStoner, Doug , 40thHutchinson, Shelly , 106thBuckner, Debbie , 137thFrye, Spencer , 122nd",https://www.legis.ga.gov/legislation/66816
HB 1197,"Income tax; expand revitalization zone tax credits to include rehabilitation of historic residential structures
Status: 03/04/2024 - Senate Read and Referred",House Committee:Ways & MeansSenate Committee:Finance,"Houston, Penny , 170thPowell, Alan , 33rdGreene, Gerald , 154thJackson, Mack , 128thPirkle, Clay , 169thTaylor, Darlene , 173rd",https://www.legis.ga.gov/legislation/66818
HB 1198,"State Board of Education; three-year pilot immersive writing program for eligible public elementary schools; establish
Status: 02/12/2024 - House Second Readers",House Committee:Education,"Bazemore, Debra , 69thBennett, Karen , 94thBeverly, James , 143rdJones, Todd , 25thCarter, Doreen , 93rdClark, Jasmine , 108th",https://www.legis.ga.gov/legislation/66819
HB 1199,"State government; auditor produce certain monthly and annual reports ; replace requirement
Status: 03/14/2024 - Senate Read Second Time",House Committee:Governmental AffairsSenate Committee:Government Oversight,"Pirkle, Clay , 169thGreene, Gerald , 154thJackson, Mack , 128thCorbett, John , 174thJasperse, Rick , 11th",https://www.legis.ga.gov/legislation/66820
HB 1200,"Motor vehicles; defensive driving course or alcohol or drug program; revise authorized fees
Status: 02/12/2024 - House Second Readers",House Committee:Motor Vehicles,"McCollum, Derrick , 30thPowell, Alan , 33rdCorbett, John , 174thRidley, Jason , 6thJasperse, Rick , 11th",https://www.legis.ga.gov/legislation/66821
HB 1201,"Criminal procedure; vacating of sentences of victims of trafficking; provisions
Status: 04/24/2024 - House Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Gaines, Houston , 120thSmith, Tyler Paul , 18thJones, Jan , 47thSilcox, Deborah , 53rdHong, Soo , 103rdDempsey, Katie , 13th",https://www.legis.ga.gov/legislation/66822
HB 1202,"Local government; employees holding interest in redevelopment activities; provisions
Status: 02/12/2024 - House Second Readers",House Committee:Governmental Affairs,"Reese, Tremaine Teddy , 140thHugley, Carolyn , 141stSmith, Vance , 138thBuckner, Debbie , 137th",https://www.legis.ga.gov/legislation/66823
HB 1203,"Dispossessory proceedings; authorize landlords to use certain off-duty sheriffs, constables, or marshals to execute writs of possession; provisions
Status: 04/24/2024 - House Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Kelley, Trey , 16thSilcox, Deborah , 53rdJones, Todd , 25thReeves, Matt , 99thRoberts, Shea , 52ndScoggins, Mitchell , 14th",https://www.legis.ga.gov/legislation/66825
HB 1204,"Insurance; medically necessary expenses for standard fertility preservation services when a medically necessary treatment for cancer, sickle cell disease, or lupus may directly or indirectly cause iatrogenic infertility; require coverage
Status: 02/16/2024 - House Committee Favorably Reported",House Committee:Public Health,"Lumsden, Eddie , 12thHawkins, Lee , 27thCooper, Sharon , 45thSilcox, Deborah , 53rdTaylor, Darlene , 173rd",https://www.legis.ga.gov/legislation/66826
HB 1205,"Equality in Financial Services Act; enact
Status: 02/12/2024 - House Second Readers",House Committee:Banks & Banking,"Jones, Todd , 25thWilliams, Jr., Noel , 148thCox, Brent , 28thRidley, Jason , 6thCannon, Chas , 172ndWashburn, Dale , 144th",https://www.legis.ga.gov/legislation/66831
HB 1206,"Commerce and trade; form executed via electronic signature; provisions
Status: 02/26/2024 - House Committee Favorably Reported By Substitute",House Committee:Agriculture & Consumer Affairs,"Lumsden, Eddie , 12thCarson, John , 46thGullett, Joseph , 19thGunter, Stan , 8thScoggins, Mitchell , 14th",https://www.legis.ga.gov/legislation/66832
HB 1207,"Elections; proofing of ballots by local superintendents in certain races; provide
Status: 05/06/2024 - House Date Signed by Governor",House Committee:Governmental AffairsSenate Committee:Ethics,"Fleming, Tim , 114thPetrea, Jesse , 166thWashburn, Dale , 144thSilcox, Deborah , 53rdCooper, Sharon , 45thDraper, Saira , 90th",https://www.legis.ga.gov/legislation/66838
HB 1208,"Housing, education, and labor; prohibit discrimination based on natural, protective, or cultural hairstyles
Status: 02/12/2024 - House Second Readers",House Committee:Industry and Labor,"Schofield, Kim , 63rdBeverly, James , 143rdClark, Jasmine , 108thHugley, Carolyn , 141stBurnough, Rhonda , 77thCannon, Park , 58th",https://www.legis.ga.gov/legislation/66839
HB 1209,"Ethan's law; enact
Status: 02/12/2024 - House Second Readers",House Committee:Juvenile Justice,"Clark, David , 100thReeves, Matt , 99thKelley, Trey , 16thJones, Todd , 25thDaniel, Lauren , 117thSmith, Tyler Paul , 18th",https://www.legis.ga.gov/legislation/66840
HB 1210,"Community Affairs, Department of; authorize creation of data base to make certain information available about multifamily complexes
Status: 02/27/2024 - House Committee Favorably Reported",House Committee:State Planning & Community Affairs,"Lim, Marvin , 98thCrowe, Clint , 118thWilkerson, David , 38thMainor, Mesha , 56thFrye, Spencer , 122nd",https://www.legis.ga.gov/legislation/66843
